task,model,state,year,shift,atc,doc,acc_drop_check
pubcov,xgb,CA,2018,temporal,-0.01937500000000003,-0.0027889013290405273,0.06237499999999996
pubcov,xgb,TX,2014,geographic,0.0020000000000000018,0.006134688854217529,-0.06625000000000003
pubcov,xgb,TX,2015,combined,0.00462499999999999,0.006619393825531006,-0.06674999999999998
pubcov,xgb,TX,2016,combined,0.001375000000000015,0.004587352275848389,-0.06425000000000003
pubcov,xgb,TX,2017,combined,0.0011250000000000426,0.006326258182525635,-0.05874999999999997
pubcov,xgb,TX,2018,combined,-0.007750000000000035,0.003182053565979004,-0.06562500000000004
pubcov,xgb,NY,2014,geographic,-0.023375000000000035,-0.005741298198699951,0.029000000000000026
pubcov,xgb,NY,2015,combined,-0.021499999999999964,-0.0056226253509521484,0.05049999999999999
pubcov,xgb,NY,2016,combined,-0.02849999999999997,-0.005534231662750244,0.06174999999999997
pubcov,xgb,NY,2017,combined,-0.026249999999999996,-0.007880568504333496,0.05812499999999998
pubcov,xgb,NY,2018,combined,-0.03049999999999997,-0.006962895393371582,0.05962500000000004
pubcov,xgb,FL,2014,geographic,0.006750000000000034,0.0036016106605529785,-0.040874999999999995
pubcov,xgb,FL,2015,combined,0.0008749999999999591,0.0027139782905578613,-0.030749999999999944
pubcov,xgb,FL,2016,combined,-0.00649999999999995,0.0016759634017944336,-0.03737500000000005
pubcov,xgb,FL,2017,combined,-0.013499999999999956,-0.002592742443084717,-0.03774999999999995
pubcov,xgb,FL,2018,combined,-0.007624999999999993,-3.2782554626464844e-05,-0.04062500000000002
