task,model,state,year,shift,n_target,ace_iso_tgt,acc_src,auc_src,ap_src,brier_src,ace_src,dp_sex_src,eo_sex_src,dp_rac_src,eo_rac_src,acc_tgt,auc_tgt,ap_tgt,brier_tgt,ace_tgt,dp_sex_tgt,eo_sex_tgt,dp_rac_tgt,eo_rac_tgt
income,rf,CA,2017,temporal,8000,0.03587188511070572,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.774,0.8553835069678632,0.7807166439443505,0.15191318599249554,0.02523708734374325,0.05402738820174763,0.003916320514162214,0.029459254016932723,0.018520024097007162
income,rf,CA,2018,temporal,8000,0.05031691382326534,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.772125,0.8505076819632769,0.7770838138046571,0.15637259320017172,0.0412084831164832,0.07621366800364088,0.00891792990312823,0.06290404653690918,0.01886014791018896
income,rf,TX,2014,geographic,8000,0.050102539260056395,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.771375,0.8401388607320696,0.6853360697480324,0.1544065337787393,0.0625912381291329,0.0774914878356871,0.005814915531850193,0.06040017659316216,0.01355972347666684
income,rf,TX,2015,combined,8000,0.03652993179794631,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.769875,0.8410671086087648,0.7048647629420673,0.15397658543375362,0.04614367173896248,0.0900584353203745,0.0053986231403289064,0.06504783231454414,0.012842865672329645
income,rf,TX,2016,combined,8000,0.03897558127031819,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.779375,0.8511200034839275,0.7224750123211394,0.14883568526940139,0.044933775947953974,0.06470940747020343,0.013589524276711715,0.04712264874946864,0.01484643214419644
income,rf,TX,2017,combined,8000,0.037950732529627364,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.774125,0.8438620461759206,0.7184035485623583,0.15357971390119338,0.04363269456766399,0.08956191269212521,0.011441597303853135,0.0590214717775564,0.02887679474097643
income,rf,TX,2018,combined,8000,0.04301123875109435,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.761875,0.8333126282438397,0.7148875363422807,0.16051140237840547,0.03843285279832042,0.05907507120065031,0.026677617487206776,0.04501449063289875,0.012662965770307358
income,rf,NY,2014,geographic,8000,0.022925480213063044,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.76325,0.839049535247389,0.7449249327325878,0.15683034692454126,0.03135401530979195,0.04789413697353423,0.005705905328728944,0.1217199975894217,0.06513915541439767
income,rf,NY,2015,combined,8000,0.03227112134587559,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.76925,0.840056036000435,0.7402937103673999,0.15661841756519462,0.026979186499026444,0.063484890793157,0.007112282886300086,0.11261236877612252,0.06011513141781684
income,rf,NY,2016,combined,8000,0.029238199672392905,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.75075,0.8316597612493646,0.7447396510512856,0.1638969615790886,0.029729665647746092,0.06483632061686662,0.03863633216470935,0.11928767912227273,0.0630215225926762
income,rf,NY,2017,combined,8000,0.03149898429277537,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.766625,0.8435168569033334,0.7690979180167752,0.15796071560170533,0.02195906438806993,0.07632295930002281,0.011031076176223162,0.1297326998232866,0.07562855434240245
income,rf,NY,2018,combined,8000,0.03906140352054933,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.75625,0.8361032013249678,0.7652064304515983,0.16361911519144637,0.034324520755650734,0.053418485518985814,0.003462830367668382,0.10964561687041963,0.060290551891215
